sent_id,text,tokens,doc_id,doc_group,author,title
555-5305,"ἔστι δὲ ὁμοιώματα μάλιστα παρὰ τὰς ἀληθινὰς φύσεις ἐν τοῖς ῥυθμοῖς καὶ τοῖς μέλεσιν ὀργῆς καὶ πραότητος,","ἔστι δὲ ὁμοιώματα μάλιστα παρὰ τὰς ἀληθινὰς φύσεις ἐν τοῖς ῥυθμοῖς καὶ τοῖς μέλεσιν ὀργῆς καὶ πραότητος ,",555,Aristotle,Aristotle,Politics
1205-1433,Οὐ δῆτα·,Οὐ δῆτα ·,1205,Aristotle,Aristotle,On sophistical refutations
1154-1737,ἔτι δʼ αἱ κινήσεις τῶν ἡδέων καὶ τῶν λυπηράν καὶ ὅλως πάσης αἰσθήσεως ἐντεῦθεν ἀρχόμεναι φαίνονται καὶ πρὸς ταύτην περαίνουσαι.,ἔτι δʼ αἱ κινήσεις τῶν ἡδέων καὶ τῶν λυπηράν καὶ ὅλως πάσης αἰσθήσεως ἐντεῦθεν ἀρχόμεναι φαίνονται καὶ πρὸς ταύτην περαίνουσαι .,1154,Aristotle,Aristotle,Parts of Animals
974-5143,"διακρινομένης δʼ ἐγείρονται καὶ κινοῦσιν ἑαυτούς, τῆς πρώτης ἀρχῆς ἔξωθεν οὔσης,","διακρινομένης δʼ ἐγείρονται καὶ κινοῦσιν ἑαυτούς , τῆς πρώτης ἀρχῆς ἔξωθεν οὔσης ,",974,Aristotle,Aristotle,Physics
1447-8804,ἀλλὰ,ἀλλὰ,1447,Aristotle,Aristotle,History of Animals
1447-4854,"Οὐκ ἀεὶ δὲ τοῦτο ποιοῦσιν,","Οὐκ ἀεὶ δὲ τοῦτο ποιοῦσιν ,",1447,Aristotle,Aristotle,History of Animals
1447-2012,τελευτῶσι δὲ παρὰ τὸ οὖς ἑκάτεραι.,τελευτῶσι δὲ παρὰ τὸ οὖς ἑκάτεραι .,1447,Aristotle,Aristotle,History of Animals
1266-2456,"ὄπτησις μὲν οὖν καὶ ἔψησις γίγνονται μὲν τέχνῃ,","ὄπτησις μὲν οὖν καὶ ἔψησις γίγνονται μὲν τέχνῃ ,",1266,Aristotle,Aristotle,Meteorologica
974-4477,", ἐν δὴ τῷ ἴσῳ χρόνῳ ἡ κη δύναμις ἡ ἐφʼ οὗ τὸ τὸ ἥμισυ τοῦ διπλασίαν τῆς Γ κινήσει,",", ἐν δὴ τῷ ἴσῳ χρόνῳ ἡ κη δύναμις ἡ ἐφʼ οὗ τὸ τὸ ἥμισυ τοῦ διπλασίαν τῆς Γ κινήσει ,",974,Aristotle,Aristotle,Physics
1205-275,.,.,1205,Aristotle,Aristotle,On sophistical refutations
928-714,τὸ δὲ περικάρπιον καρποῦ·,τὸ δὲ περικάρπιον καρποῦ ·,928,Aristotle,Aristotle,On the Soul
974-5027,εἰλήφθω μὴ κινούμενα ὑφʼ αὐτῶν.,εἰλήφθω μὴ κινούμενα ὑφʼ αὐτῶν .,974,Aristotle,Aristotle,Physics
