sent_id,text,tokens,doc_id,doc_group,author,title
43-9553,ὃ δʼ ἕζετο χεῖρε πετάσσας ἀμφοτέρας·,ὃ δʼ ἕζετο χεῖρε πετάσσας ἀμφοτέρας ·,43,Epoi,Homer,The Iliad
191-3366,",",",",191,Epoi,Homer,The Odyssey
191-537,·,·,191,Epoi,Homer,The Odyssey
731-389,"κὰδ δʼ αὐτοῦ λίνα χεῦαν, ἐπʼ ἠλακάτην ἐρύσαντες.","κὰδ δʼ αὐτοῦ λίνα χεῦαν , ἐπʼ ἠλακάτην ἐρύσαντες .",731,Epoi,Apollonius Rhodius,Argonautica
191-8730,", Τηλεμάχου·",", Τηλεμάχου ·",191,Epoi,Homer,The Odyssey
191-7742,"στῆ ῥα παρὰ σταθμὸν τέγεος πύκα ποιητοῖο, ἄντα παρειάων σχομένη λιπαρὰ κρήδεμνα·","στῆ ῥα παρὰ σταθμὸν τέγεος πύκα ποιητοῖο , ἄντα παρειάων σχομένη λιπαρὰ κρήδεμνα ·",191,Epoi,Homer,The Odyssey
191-7032,"εἴ κεν ἐμὲ μνηστῆρες ἀγήνορες ἐν μεγάροισι λάθρη κτείναντες πατρώϊα πάντα δάσωνται, αὐτὸν ἔχοντά σε βούλομʼ ἐπαυρέμεν, ἤ τινα τῶνδε·","εἴ κεν ἐμὲ μνηστῆρες ἀγήνορες ἐν μεγάροισι λάθρη κτείναντες πατρώϊα πάντα δάσωνται , αὐτὸν ἔχοντά σε βούλομʼ ἐπαυρέμεν , ἤ τινα τῶνδε ·",191,Epoi,Homer,The Odyssey
191-4290,"ἀλλʼ ἄλλην χρὴ πρῶτον ὁδὸν τελέσαι καὶ ἱκέσθαι εἰς Ἀίδαο δόμους καὶ ἐπαινῆς Περσεφονείης, ψυχῇ χρησομένους Θηβαίου Τειρεσίαο, μάντηος ἀλαοῦ,","ἀλλʼ ἄλλην χρὴ πρῶτον ὁδὸν τελέσαι καὶ ἱκέσθαι εἰς Ἀίδαο δόμους καὶ ἐπαινῆς Περσεφονείης , ψυχῇ χρησομένους Θηβαίου Τειρεσίαο , μάντηος ἀλαοῦ ,",191,Epoi,Homer,The Odyssey
731-222,τοῖσιν δʼ Αἴσονος υἱὸς ἐυφρονέων μετέειπεν·,τοῖσιν δʼ Αἴσονος υἱὸς ἐυφρονέων μετέειπεν ·,731,Epoi,Apollonius Rhodius,Argonautica
191-3076,"τῶν δʼ ἄλλων οὔ πέρ τινʼ ἀναίνομαι οὐδʼ ἀθερίζω, ἀλλʼ ἐθέλω ἴδμεν καὶ πειρηθήμεναι ἄντην.","τῶν δʼ ἄλλων οὔ πέρ τινʼ ἀναίνομαι οὐδʼ ἀθερίζω , ἀλλʼ ἐθέλω ἴδμεν καὶ πειρηθήμεναι ἄντην .",191,Epoi,Homer,The Odyssey
43-10775,"οὐδὲ μάτησεν ἴφθιμος Σθένελος, ἀλλʼ ἐσσυμένως λάβʼ ἄεθλον,","οὐδὲ μάτησεν ἴφθιμος Σθένελος , ἀλλʼ ἐσσυμένως λάβʼ ἄεθλον ,",43,Epoi,Homer,The Iliad
731-360,καὶ ὁ μὲν φόρμιγγα σὺν ἀμβροσίῃ σχέθεν αὐδῇ.,καὶ ὁ μὲν φόρμιγγα σὺν ἀμβροσίῃ σχέθεν αὐδῇ .,731,Epoi,Apollonius Rhodius,Argonautica
43-6471,αὐτῷ γὰρ γενεὴν ἄγχιστα ἐῴκει.,αὐτῷ γὰρ γενεὴν ἄγχιστα ἐῴκει .,43,Epoi,Homer,The Iliad
191-2566,αὐτὰρ Ναυσικάα λευκώλενος ἄλλʼ ἐνόησεν·,αὐτὰρ Ναυσικάα λευκώλενος ἄλλʼ ἐνόησεν ·,191,Epoi,Homer,The Odyssey
43-7950,Ἕκτωρ δʼ αὖτʼ Αἴαντος ἀκόντισε δουρὶ φαεινῷ·,Ἕκτωρ δʼ αὖτʼ Αἴαντος ἀκόντισε δουρὶ φαεινῷ ·,43,Epoi,Homer,The Iliad
