sent_id,text,tokens,doc_id,doc_group,author,title
254-1139,Χορός μὴ φῦναι τὸν ἅπαντα νικᾷ λόγον·,Χορός μὴ φῦναι τὸν ἅπαντα νικᾷ λόγον ·,254,Greek tragedies,Sophocles,Oedipus at Colonus
112-420,Ἰφιγένεια ὦ συνταραχθεὶς οἶκος.,Ἰφιγένεια ὦ συνταραχθεὶς οἶκος .,112,Greek tragedies,Euripides,Iphigenia in Tauris
430-48,Θάνατος ἔχω λόγον δὴ καὶ προθυμίαν σέθεν.,Θάνατος ἔχω λόγον δὴ καὶ προθυμίαν σέθεν .,430,Greek tragedies,Euripides,Alcestis
390-112,"Χορός ἰὼ φίλοι δαίμονες, λυτήριοί τʼ ἀμφιβάντες πόλιν","Χορός ἰὼ φίλοι δαίμονες , λυτήριοί τʼ ἀμφιβάντες πόλιν",390,Greek tragedies,Aeschylus,Seven against Thebes
380-1278,.,.,380,Greek tragedies,Sophocles,Philoctetes
292-367,Ξοῦθος καλῶς·,Ξοῦθος καλῶς ·,292,Greek tragedies,Euripides,Ion
254-560,"Οἰδίπους ὅταν θάνω ʼγὼ καὶ σύ μου ταφεὺς γένῃ Θησεύς τὰ λοίσθιʼ αἰτεῖ τοῦ βίου, τὰ δʼ ἐν μέσῳ ἢ λῆστιν ἴσχεις ἢ διʼ οὐδενὸς ποεῖ.","Οἰδίπους ὅταν θάνω ʼγὼ καὶ σύ μου ταφεὺς γένῃ Θησεύς τὰ λοίσθιʼ αἰτεῖ τοῦ βίου , τὰ δʼ ἐν μέσῳ ἢ λῆστιν ἴσχεις ἢ διʼ οὐδενὸς ποεῖ .",254,Greek tragedies,Sophocles,Oedipus at Colonus
754-475,"Μενελέως οὔ που φρονῶ μὲν εὖ,","Μενελέως οὔ που φρονῶ μὲν εὖ ,",754,Greek tragedies,Euripides,Helen
186-393,καὶ γὰρ εὐφρόνη.,καὶ γὰρ εὐφρόνη .,186,Greek tragedies,Euripides,Rhesus
643-486,Μενέλαος πᾶν τοὐξ ἀνάγκης δοῦλόν ἐστʼ ἐν τοῖς σοφοῖς.,Μενέλαος πᾶν τοὐξ ἀνάγκης δοῦλόν ἐστʼ ἐν τοῖς σοφοῖς .,643,Greek tragedies,Euripides,Orestes
112-863,"τὴν θεὸν δʼ ὅπως λάθω δέδοικα καὶ τύραννον, ἡνίκʼ ἂν κενὰς κρηπῖδας εὕρῃ λαΐνας ἀγάλματος.","τὴν θεὸν δʼ ὅπως λάθω δέδοικα καὶ τύραννον , ἡνίκʼ ἂν κενὰς κρηπῖδας εὕρῃ λαΐνας ἀγάλματος .",112,Greek tragedies,Euripides,Iphigenia in Tauris
