sent_id,text,tokens,doc_id,doc_group,author,title
1578-1531,καθότι ηὐφράνθη ἐπὶ τοῖς πατράσιν σου.,καθότι ηὐφράνθη ἐπὶ τοῖς πατράσιν σου .,1578,LXX,Moses,Deuteronomy 
1031-756,καὶ ἀπέκτεινεν αὐτὸν ἐν τῷ δόρατι αὐτοῦ.,καὶ ἀπέκτεινεν αὐτὸν ἐν τῷ δόρατι αὐτοῦ .,1031,LXX,1 Chronicles ,1 Chronicles
1006-1640,"Καὶ ἐξῆλθεν Ἰακὼβ ἀπὸ τοῦ φρέατος τοῦ ὅρκου,","Καὶ ἐξῆλθεν Ἰακὼβ ἀπὸ τοῦ φρέατος τοῦ ὅρκου ,",1006,LXX,Moses,Genesis
1688-1630,Ἐμασοὺ ὁ Σαλαβωνείτης·,Ἐμασοὺ ὁ Σαλαβωνείτης ·,1688,LXX,2 Samuel (2 Regnorum),2 Samuel (2 Regnorum)
1279-874,καὶ πλανήσουσιν ἴγυπτον κατὰ φυλάς.,καὶ πλανήσουσιν ἴγυπτον κατὰ φυλάς .,1279,LXX,Isaiah ,Isaiah
1252-937,καὶ ἦλθεν πρὸς τὸν ἄνδρα καὶ εἶπεν αὐτῷ Εἰ σὺ εἶ ὁ ἀνὴρ ὁ λαλήσας πρὸς τὴν γυναῖκα;,καὶ ἦλθεν πρὸς τὸν ἄνδρα καὶ εἶπεν αὐτῷ Εἰ σὺ εἶ ὁ ἀνὴρ ὁ λαλήσας πρὸς τὴν γυναῖκα ;,1252,LXX,Judges ,Judges 
1236-2183,"καὶ δύο θυρώματα τῷ ναῷ, καὶ δύο θυρώματα τῷ ἁγίῳ·","καὶ δύο θυρώματα τῷ ναῷ , καὶ δύο θυρώματα τῷ ἁγίῳ ·",1236,LXX,Ezekiel ,Ezekiel
1104-86,·,·,1104,LXX,Zephaniah,Zephaniah
1688-1297,"καὶ Βερζελλι ἀνὴρ πρεσβύτερος σφόδρα, υἱὸς ὀγδοήκοντα ἐτῶν, καὶ αὐτὸς διέθρεψεν τὸν βασιλέα ἐν τῷ οἰκεῖν αὐτὸν ἐν Μαναϊμ, ὅτι ἀνὴρ μέγας ἐστὶν σφόδρα.","καὶ Βερζελλι ἀνὴρ πρεσβύτερος σφόδρα , υἱὸς ὀγδοήκοντα ἐτῶν , καὶ αὐτὸς διέθρεψεν τὸν βασιλέα ἐν τῷ οἰκεῖν αὐτὸν ἐν Μαναϊμ , ὅτι ἀνὴρ μέγας ἐστὶν σφόδρα .",1688,LXX,2 Samuel (2 Regnorum),2 Samuel (2 Regnorum)
1031-177,Ῥάγεμ καὶ Ἰωαθὰμ καὶ Σωγὰρ καὶ Φάλεκ καὶ Γαιφὰ καὶ Σάγαε.,Ῥάγεμ καὶ Ἰωαθὰμ καὶ Σωγὰρ καὶ Φάλεκ καὶ Γαιφὰ καὶ Σάγαε .,1031,LXX,1 Chronicles ,1 Chronicles
