sent_id,text,tokens,doc_id,doc_group,author,title
179-488,φαίης γε ἂν οἶμαι ὁπόταν ὁρῴης ἕνα ἕκαστον αὐτῶν φιλοτιμούμενόν τε καὶ νέμοντα τὸ πλεῖστον τῆς πολιτείας.,φαίης γε ἂν οἶμαι ὁπόταν ὁρῴης ἕνα ἕκαστον αὐτῶν φιλοτιμούμενόν τε καὶ νέμοντα τὸ πλεῖστον τῆς πολιτείας .,179,Plato,Plato,Alcibiades 2
118-3279,ΣΩ.,ΣΩ .,118,Plato,Plato,Gorgias
343-776,ἢ ἐὰν ἄκουσα,ἢ ἐὰν ἄκουσα,343,Plato,Plato,Hippias Minor
294-1181,ΣΩ.,ΣΩ .,294,Plato,Plato,Phaedrus
261-2140,",",",",261,Plato,Plato,Theaetetus
204-3482,φράζʼ ἔτι σαφέστερον.,φράζʼ ἔτι σαφέστερον .,204,Plato,Plato,Laws
168-1352,ΣΩ.,ΣΩ .,168,Plato,Plato,Meno
716-1980,καὶ δοκοῦσί γε οὐ φαύλως λέγειν.,καὶ δοκοῦσί γε οὐ φαύλως λέγειν .,716,Plato,Plato,Philebus
166-547,ΣΩ.,ΣΩ .,166,Plato,Plato,Laches
564-4105,"οὐκοῦν καὶ περὶ τούτων, ἐπειδὴ τέτταρα ὄντα τυγχάνει, ὡσαύτως ζητητέον;","οὐκοῦν καὶ περὶ τούτων , ἐπειδὴ τέτταρα ὄντα τυγχάνει , ὡσαύτως ζητητέον ;",564,Plato,Plato,Republic
118-4166,"σοῦ δὲ ἴσως ἐπιλήψονται, ἐὰν μὴ εὐλαβῇ, καὶ τοῦ ἐμοῦ ἑταίρου Ἀλκιβιάδου,","σοῦ δὲ ἴσως ἐπιλήψονται , ἐὰν μὴ εὐλαβῇ , καὶ τοῦ ἐμοῦ ἑταίρου Ἀλκιβιάδου ,",118,Plato,Plato,Gorgias
118-3906,.,.,118,Plato,Plato,Gorgias
168-198,", καὶ δοκεῖ σοι ἔτι ἂν δοῦλος εἶναι ὁ ἄρχων;",", καὶ δοκεῖ σοι ἔτι ἂν δοῦλος εἶναι ὁ ἄρχων ;",168,Plato,Plato,Meno
261-1541,"οὐκοῦν ἐπειδὴ ἀμφισβητεῖται ὑπὸ πάντων, οὐδενὶ ἂν εἴη ἡ Πρωταγόρου Ἀλήθεια ἀληθής,","οὐκοῦν ἐπειδὴ ἀμφισβητεῖται ὑπὸ πάντων , οὐδενὶ ἂν εἴη ἡ Πρωταγόρου Ἀλήθεια ἀληθής ,",261,Plato,Plato,Theaetetus
261-3379,ὁμοίως ἔν τε γράμμασι καὶ ἐν τοῖς ἄλλοις ἅπασι.,ὁμοίως ἔν τε γράμμασι καὶ ἐν τοῖς ἄλλοις ἅπασι .,261,Plato,Plato,Theaetetus
694-149,.,.,694,Plato,Plato,Statesman
118-3479,"ἀταξίας τυχοῦσα ἔσται χρηστή,","ἀταξίας τυχοῦσα ἔσται χρηστή ,",118,Plato,Plato,Gorgias
760-70,ἡγῇ δὲ δὴ καλὸν εἶναι μόνον τὴν φιλοσοφίαν ἢ καὶ ἀγαθόν;,ἡγῇ δὲ δὴ καλὸν εἶναι μόνον τὴν φιλοσοφίαν ἢ καὶ ἀγαθόν ;,760,Plato,Plato,Lovers
213-64,"ἂν μὲν δὴ καὶ ὑποπίῃ, εὐμαρία ἡμῖν ἐστιν καὶ ἐξ ὕπνου ἐγρομένοις Λύσιδος οἴεσθαι τοὔνομα ἀκούειν.","ἂν μὲν δὴ καὶ ὑποπίῃ , εὐμαρία ἡμῖν ἐστιν καὶ ἐξ ὕπνου ἐγρομένοις Λύσιδος οἴεσθαι τοὔ νομα ἀκούειν .",213,Plato,Plato,Lysis
716-1924,καὶ,καὶ,716,Plato,Plato,Philebus
564-3790,ἔφη.,ἔφη .,564,Plato,Plato,Republic
261-1777,μὴ γάρ.,μὴ γάρ .,261,Plato,Plato,Theaetetus
564-7681,ἐντεῦθεν οἰόμενοι τἀγαθὸν δεῖν ἁρπάζειν,ἐντεῦθεν οἰόμενοι τἀγαθὸν δεῖν ἁρπάζειν,564,Plato,Plato,Republic
350-321,ὡς μετὰ τοῦτο τελοῦντε.,ὡς μετὰ τοῦτο τελοῦντε .,350,Plato,Plato,Euthydemus
118-852,"τί δέ, ὦ Σώκρατες;","τί δέ , ὦ Σώκρατες ;",118,Plato,Plato,Gorgias
204-6119,ΚΛ.,ΚΛ .,204,Plato,Plato,Laws
